ym,average,low,high,temp_range,high_deviation,low_deviation,climate_summary,percipitation,energy,pop,urban_bcr,urban_far
"			2004-01",2.8,-0.8,7.9,8.7,5.1,3.6,-19.15491981,1.4,328518000,3587154,56.11,154.17
"			2004-02",6.6,2.6,11.7,9.1,5.1,4,-12.84372036,77.5,339007000,3587154,56.11,154.17
"			2004-03",8.8,4.8,13.8,9,5,4,-9.08900867,48.1,301317000,3587154,56.11,154.17
"			2004-04",14,10.1,19.3,9.2,5.3,3.9,0.122118262,215,303667000,3587154,56.11,154.17
"			2004-05",17.3,14.3,20.9,6.6,3.6,3,5.559411886,210.6,287850000,3587154,56.11,154.17
"			2004-06",21,17.6,25,7.4,4,3.4,11.8997362,189.1,287943000,3587154,56.11,154.17
"			2004-07",24.2,21.5,27.5,6,3.3,2.7,17.53855088,91.7,293776000,3587154,56.11,154.17
"			2004-08",25.2,22.4,29.1,6.7,3.9,2.8,19.50596843,249,359609000,3587154,56.11,154.17
"			2004-09",22,19.6,25.6,6,3.6,2.4,14.08099258,231.2,310481000,3587154,56.11,154.17
"			2004-10",16.8,13.3,21.4,8.1,4.6,3.5,4.872963817,14.8,289550000,3587154,56.11,154.17
"			2004-11",12.5,8.6,17.6,9,5.1,3.9,-2.573404634,32,304219000,3587154,56.11,154.17
"			2004-12",7.4,3.7,11.9,8.2,4.5,3.7,-11.56702556,26.1,314532000,3587154,56.11,154.17
"			2005-01",2,-1.7,6.4,8.1,4.4,3.7,-20.95766839,15.7,352056000,3587154,56.11,154.17
"			2005-02",2.5,-1.2,6.9,8.1,4.4,3.7,-20.09284244,36.8,350988000,3587154,56.11,154.17
"			2005-03",7.1,3,12.2,9.2,5.1,4.1,-12.04426386,142.4,320971000,3587154,56.11,154.17
"			2005-04",14,10.4,18.6,8.2,4.6,3.6,-0.035430985,118.9,325677000,3587154,56.11,154.17
"			2005-05",17.1,13.3,22,8.7,4.9,3.8,5.347318576,168,298304000,3587154,56.11,154.17
"			2005-06",21,18.2,24.6,6.4,3.6,2.8,12.08986286,145,317300000,3587154,56.11,154.17
"			2005-07",23.8,21.4,26.9,5.5,3.1,2.4,16.94175344,314.4,314444000,3587154,56.11,154.17
"			2005-08",25.8,23.3,29.1,5.8,3.3,2.5,20.43673284,210.8,345824000,3587154,56.11,154.17
"			2005-09",22.8,20.3,26.4,6.1,3.6,2.5,15.39934466,176.5,335548000,3587154,56.11,154.17
"			2005-10",17.1,13.8,21.9,8.1,4.8,3.3,5.623643325,21.5,302438000,3587154,56.11,154.17
"			2005-11",11.6,8,16.5,8.5,4.9,3.6,-4.035028025,30.9,314291000,3587154,56.11,154.17
