ym,average,low,high,temp_range,high_deviation,low_deviation,climate_summary,energy,pop,month
2008-01-01,4.7,1.7,8.6,6.8999999999999995,3.8999999999999995,3.0,-16.082634639380178,386619000,3587154.0,1
2008-02-01,3.8,-0.2,8.7,8.899999999999999,4.8999999999999995,4.0,-17.787790736393248,392503000,3585593.0,2
2008-03-01,9.5,6.1,14.2,8.1,4.699999999999999,3.4000000000000004,-7.637603160951802,351265000,3580784.0,3
2008-04-01,13.9,10.7,17.8,7.100000000000001,3.9000000000000004,3.200000000000001,-0.3005759698680883,355071000,3579486.0,4
2008-05-01,17.4,14.4,21.4,6.999999999999998,4.0,2.9999999999999982,5.934467136778931,326863000,3577179.0,5
2008-06-01,19.7,17.3,22.6,5.300000000000001,2.900000000000002,2.3999999999999986,9.749135582243571,329480000,3573520.0,6
2008-07-01,25.6,23.3,28.4,5.099999999999998,2.799999999999997,2.3000000000000007,19.968928790954752,337838000,3572177.0,7
2008-08-01,25.0,22.5,28.2,5.699999999999999,3.1999999999999993,2.5,19.002488799182775,396047000,3571113.0,8
2008-09-01,22.9,20.5,26.2,5.699999999999999,3.3000000000000007,2.3999999999999986,15.48611175523288,349049000,3570292.0,9
2008-10-01,19.1,16.2,23.1,6.900000000000002,4.0,2.900000000000002,8.940244837093832,322615000,3568314.0,10
2008-11-01,11.6,8.6,15.8,7.200000000000001,4.200000000000001,3.0,-3.9964689131589495,342765000,3566639.0,11
2008-12-01,6.6,2.9,10.9,8.0,4.300000000000001,3.6999999999999997,-13.051792119110711,362475000,3564577.0,12
2009-01-01,3.5,0.0,7.9,7.9,4.4,3.5,-18.232451620633253,400092000,3562642.0,1
2009-02-01,8.3,5.0,12.2,7.199999999999999,3.8999999999999986,3.3000000000000007,-10.051996120464999,397028000,3562040.0,2
2009-03-01,9.8,6.1,13.8,7.700000000000001,4.0,3.700000000000001,-7.668473551011857,342276000,3560925.0,3
2009-04-01,14.3,10.7,19.1,8.400000000000002,4.800000000000001,3.6000000000000014,0.584509618098263,359121000,3555949.0,4
2009-05-01,18.6,15.3,22.8,7.5,4.199999999999999,3.3000000000000007,7.914986100873886,333320000,3554770.0,5
2009-06-01,21.4,18.7,25.1,6.400000000000002,3.700000000000003,2.6999999999999993,12.897615591408982,335303000,3553483.0,6
2009-07-01,23.3,21.1,26.3,5.199999999999999,3.0,2.1999999999999993,16.157143879923463,338989000,3551777.0,7
2009-08-01,25.0,22.9,28.1,5.200000000000003,3.1000000000000014,2.1000000000000014,19.21344409522271,356859000,3550445.0,8
2009-09-01,22.7,20.1,26.4,6.299999999999997,3.6999999999999993,2.599999999999998,15.2115325275924,353202000,3549442.0,9
2009-10-01,18.8,15.4,23.4,7.999999999999998,4.599999999999998,3.4000000000000004,8.397637090120956,330738000,3548189.0,10
2009-11-01,11.1,7.7,15.2,7.499999999999999,4.1,3.3999999999999995,-5.173295194331953,355639000,3546127.0,11
2009-12-01,5.4,1.8,9.8,8.0,4.4,3.6000000000000005,-15.011482443764754,375626000,3543030.0,12
2010-01-01,3.0,-1.1,7.7,8.8,4.7,4.1,-19.337926747380997,412268000,3542631.0,1
2010-02-01,5.8,2.4,10.0,7.6,4.2,3.4,-14.289927804089823,408448000,3541701.0,2
2010-03-01,7.8,4.5,11.5,7.0,3.7,3.3,-11.017867105598059,356990000,3539345.0,3
2010-04-01,11.5,7.8,16.0,8.2,4.5,3.7,-4.475452728531277,376859000,3537482.0,4
