ym,station,average,low,high
"			2004-01",159,2.8,-0.8,7.9
"			2004-02",159,6.6,2.6,11.7
"			2004-03",159,8.8,4.8,13.8
"			2004-04",159,14,10.1,19.3
"			2004-05",159,17.3,14.3,20.9
"			2004-06",159,21,17.6,25
"			2004-07",159,24.2,21.5,27.5
"			2004-08",159,25.2,22.4,29.1
"			2004-09",159,22,19.6,25.6
"			2004-10",159,16.8,13.3,21.4
"			2004-11",159,12.5,8.6,17.6
"			2004-12",159,7.4,3.7,11.9
"			2005-01",159,2,-1.7,6.4
"			2005-02",159,2.5,-1.2,6.9
"			2005-03",159,7.1,3,12.2
"			2005-04",159,14,10.4,18.6
"			2005-05",159,17.1,13.3,22
"			2005-06",159,21,18.2,24.6
"			2005-07",159,23.8,21.4,26.9
"			2005-08",159,25.8,23.3,29.1
"			2005-09",159,22.8,20.3,26.4
"			2005-10",159,17.1,13.8,21.9
"			2005-11",159,11.6,8,16.5
"			2005-12",159,1.2,-2.8,6.1
"			2006-01",159,3.9,0.7,8.4
"			2006-02",159,4,0,8.9
"			2006-03",159,8,3.8,13.3
"			2006-04",159,12.2,8.6,16.5
"			2006-05",159,16.3,13.2,20.8
"			2006-06",159,20.3,17.2,24.1
"			2006-07",159,22.6,20.1,25.3
"			2006-08",159,27.5,24.5,31.3
"			2006-09",159,21.3,18.6,25.2
"			2006-10",159,20,17,24.6
"			2006-11",159,13.1,9.9,16.9
"			2006-12",159,6.6,3.1,11
"			2007-01",159,5.2,2.1,9.7
"			2007-02",159,7.9,4.1,12.8
"			2007-03",159,9.1,5.8,13.4
"			2007-04",159,13.2,9.7,17.5
"			2007-05",159,17.8,14.5,21.8
"			2007-06",159,20.5,18,23.8
"			2007-07",159,22.8,20.8,25.4
"			2007-08",159,26.7,24.5,29.5
"			2007-09",159,22.9,20.6,26
"			2007-10",159,18.3,15.4,22.5
"			2007-11",159,11.9,8.5,16.1
"			2007-12",159,7.3,4.3,11.1
"			2008-01",159,4.7,1.7,8.6
"			2008-02",159,3.8,-0.2,8.7
"			2008-03",159,9.5,6.1,14.2
"			2008-04",159,13.9,10.7,17.8
"			2008-05",159,17.4,14.4,21.4
"			2008-06",159,19.7,17.3,22.6
"			2008-07",159,25.6,23.3,28.4
"			2008-08",159,25,22.5,28.2
"			2008-09",159,22.9,20.5,26.2
"			2008-10",159,19.1,16.2,23.1
"			2008-11",159,11.6,8.6,15.8
"			2008-12",159,6.6,2.9,10.9
"			2009-01",159,3.5,0,7.9
"			2009-02",159,8.3,5,12.2
"			2009-03",159,9.8,6.1,13.8
"			2009-04",159,14.3,10.7,19.1
"			2009-05",159,18.6,15.3,22.8
"			2009-06",159,21.4,18.7,25.1
"			2009-07",159,23.3,21.1,26.3
"			2009-08",159,25,22.9,28.1
"			2009-09",159,22.7,20.1,26.4
"			2009-10",159,18.8,15.4,23.4
"			2009-11",159,11.1,7.7,15.2
"			2009-12",159,5.4,1.8,9.8
"			2010-01",159,3,-1.1,7.7
"			2010-02",159,5.8,2.4,10
"			2010-03",159,7.8,4.5,11.5
"			2010-04",159,11.5,7.8,16
"			2010-05",159,17.2,13.9,21.3
"			2010-06",159,22,19.4,25.5
"			2010-07",159,25.2,23,28.3
"			2010-08",159,27.9,25.6,30.9
"			2010-09",159,24.1,21.4,27.9
"			2010-10",159,18.2,15.1,22.5
"			2010-11",159,11.3,7.2,16.4
"			2010-12",159,5.2,1,9.9
"			2011-01",159,-0.7,-4.8,4.6
"			2011-02",159,6.1,2.7,10.9
"			2011-03",159,7.4,3.1,12.6
"			2011-04",159,13.1,9.3,17.3
"			2011-05",159,17.3,14.4,20.8
"			2011-06",159,21.3,19,24.8
"			2011-07",159,25.1,22.5,28.4
"			2011-08",159,25.8,23.8,28.9
"			2011-09",159,23.3,20.5,27.1
"			2011-10",159,17.6,13.9,22.3
"			2011-11",159,14.1,10.9,18.3
"			2011-12",159,4.4,0.7,9.1
"			2012-01",159,2.8,-0.7,7.4
"			2012-02",159,2.8,-0.9,7.2
"			2012-03",159,8.3,4.9,12.3
"			2012-04",159,14,10.3,18
"			2012-05",159,18.9,15.9,23.1
"			2012-06",159,21.6,19.1,24.9
"			2012-07",159,25.5,23.3,28.5
"			2012-08",159,27.5,25.1,30.7
"			2012-09",159,22.2,19.1,26.1
"			2012-10",159,17.8,14,22.7
"			2012-11",159,10.1,6.5,14.7
"			2012-12",159,2.9,-0.8,7.1
"			2013-01",159,2.5,-1.4,7.2
"			2013-02",159,4.7,0.4,9.3
"			2013-03",159,10.2,5.8,14.7
"			2013-04",159,12.6,8.3,17.1
"			2013-05",159,18.2,14.7,22.4
"			2013-06",159,21.9,19.6,25.3
"			2013-07",159,26.1,23.9,29.1
"			2013-08",159,28,25,32.1
"			2013-09",159,23.7,20.7,27.6
"			2013-10",159,18.9,15.5,23.5
"			2013-11",159,10.9,7.1,15.9
"			2013-12",159,5.4,1.7,9.8
"			2014-01",159,5,1.2,9.7
"			2014-02",159,5.8,2.7,9.9
"			2014-03",159,9.8,6.2,14.5
"			2014-04",159,14.6,11.2,19.3
"			2014-05",159,18.7,15.4,23.2
"			2014-06",159,21.4,19,24.9
"			2014-07",159,24.8,22.4,28.1
"			2014-08",159,24.2,22.2,27.1
"			2014-09",159,22.7,19.9,26.5
"			2014-10",159,17.9,14.6,22.1
"			2014-11",159,12.7,9.2,17.4
"			2014-12",159,3.5,-0.5,8.2
"			2015-01",159,4.7,0.9,9.4
"			2015-02",159,5.4,1.4,10.2
"			2015-03",159,9.5,5.4,14.3
"			2015-04",159,13.9,10.6,17.8
"			2015-05",159,18.8,15.4,22.9
"			2015-06",159,21,18.4,24.7
"			2015-07",159,23.9,21.7,27
"			2015-08",159,26.1,23.5,29.3
"			2015-09",159,22.1,19.2,25.9
"			2015-10",159,18.1,14.4,22.9
"			2015-11",159,13.6,10.9,17.5
"			2015-12",159,7.9,4.4,12.4
"			2016-01",159,3.1,-0.3,7.6
"			2016-02",159,5.5,1.3,10.4
"			2016-03",159,9.9,6.3,14.4
"			2016-04",159,15.1,11.9,19.2
"			2016-05",159,19.3,15.7,23.7
"			2016-06",159,21.9,19.5,25.3
"			2016-07",159,25.3,23,28.5
"			2016-08",159,27.7,24.6,31.8
"			2016-09",159,22.9,20.7,26.3
"			2016-10",159,18.7,16.1,22.3
"			2016-11",159,11.8,8.3,16.4
"			2016-12",159,7.3,3.2,12.1
"			2017-01",159,4.1,0.1,9.1
"			2017-02",159,5.5,0.9,10.8
"			2017-03",159,9,5.2,13.9
"			2017-04",159,15,11.4,19
"			2017-05",159,19,15.4,23.7
"			2017-06",159,21.3,18.4,25.2
"			2017-07",159,26.1,23.6,29.2
"			2017-08",159,27,24.3,30.5
"			2017-09",159,22.6,19.6,26.5
"			2017-10",159,18.1,15.1,22.3
"			2017-11",159,11.2,6.9,16.3
"			2017-12",159,3.6,-0.7,8.6
"			2018-01",159,1.9,-1.9,6.5
"			2018-02",159,3.9,-0.2,8.9
"			2018-03",159,10,6,14.5
"			2018-04",159,14.5,11.1,18.7
"			2018-05",159,17.8,15,21.5
"			2018-06",159,21.5,18.9,25.2
"			2018-07",159,26.7,23.9,30.2
"			2018-08",159,27.9,25.3,31.3
"			2018-09",159,21.9,19.5,25.3
"			2018-10",159,16.4,13,21.1
"			2018-11",159,12.4,8.9,17.5
"			2018-12",159,5.7,2,10.1
"			2019-01",159,4.5,0.5,9.6
"			2019-02",159,6.6,2.7,11.3
"			2019-03",159,10.5,6.7,15.1
"			2019-04",159,13.4,9.9,17.3
"			2019-05",159,19.3,15.7,23.6
"			2019-06",159,21.1,18.3,24.7
"			2019-07",159,24.3,22.4,27.1
"			2019-08",159,27,24.6,30.1
"			2019-09",159,23.1,20.7,26.6
"			2019-10",159,18.6,15.5,22.8
"			2019-11",159,13,9.4,17.9
"			2019-12",159,7,3.4,11.7
"			2020-01",159,6.4,3.1,10.9
"			2020-02",159,7.1,3.1,11.8
"			2020-03",159,10.4,6.4,15
"			2020-04",159,12.6,8.9,17.5
"			2020-05",159,17.9,15,21.8
"			2020-06",159,22.4,19.5,26.6
"			2020-07",159,22.1,20.3,24.8
"			2020-08",159,27.2,24.8,30.4
"			2020-09",159,21.9,19.2,25.6
"			2020-10",159,17.3,13.8,22.2
"			2020-11",159,12.4,8.5,17.2
"			2020-12",159,4.3,0.5,9.3
