연도,시도,시군구,계약종별, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 
2004,서울특별시,강남구,주택용,63735000 ,63692000 ,59914000 ,58818000 ,57783000 ,59510000 ,65018000 ,78119000 ,64647000 ,59382000 ,61500000 ,63532000 
2004,서울특별시,강남구,일반용,230861000 ,230615000 ,218161000 ,206286000 ,201579000 ,236669000 ,266198000 ,298058000 ,261212000 ,209037000 ,208008000 ,228744000 
2004,서울특별시,강남구,총계,321528000 ,320093000 ,303005000 ,288127000 ,282270000 ,322233000 ,358516000 ,404959000 ,351642000 ,291019000 ,292913000 ,318108000 
2004,서울특별시,강동구,주택용,44786000 ,45459000 ,40650000 ,40844000 ,38801000 ,38908000 ,40233000 ,48067000 ,41661000 ,38827000 ,40960000 ,41916000 
2004,서울특별시,강동구,일반용,46512000 ,46672000 ,41464000 ,40902000 ,39251000 ,44189000 ,49586000 ,58279000 ,50925000 ,40776000 ,40848000 ,43235000 
2004,서울특별시,강동구,총계,108161000 ,108410000 ,97979000 ,97105000 ,92328000 ,97944000 ,105343000 ,121981000 ,107799000 ,94144000 ,96995000 ,101065000 
2004,서울특별시,강북구,주택용,31844000 ,33704000 ,29757000 ,29740000 ,28438000 ,29077000 ,29272000 ,35235000 ,30855000 ,28749000 ,29812000 ,30370000 
2004,서울특별시,강북구,일반용,27192000 ,28110000 ,25282000 ,24765000 ,23716000 ,27037000 ,29752000 ,35861000 ,30748000 ,25752000 ,26766000 ,27055000 
2004,서울특별시,강북구,총계,67587000 ,70311000 ,63143000 ,62027000 ,58199000 ,61972000 ,64914000 ,77055000 ,67676000 ,60381000 ,63471000 ,65485000 
2004,서울특별시,강서구,주택용,48432000 ,50031000 ,45268000 ,45876000 ,43685000 ,44717000 ,45020000 ,55090000 ,48802000 ,43862000 ,46775000 ,47166000 
2004,서울특별시,강서구,일반용,59750000 ,59781000 ,55227000 ,53722000 ,51447000 ,57497000 ,63833000 ,74722000 ,66991000 ,53943000 ,55256000 ,59175000 
2004,서울특별시,강서구,총계,145108000 ,145347000 ,136754000 ,135822000 ,132103000 ,140021000 ,147855000 ,164897000 ,151945000 ,132834000 ,136255000 ,140101000 
2004,서울특별시,관악구,주택용,48688000 ,50319000 ,45283000 ,45849000 ,43301000 ,44046000 ,45177000 ,53928000 ,47824000 ,43662000 ,45887000 ,47078000 
2004,서울특별시,관악구,일반용,49561000 ,50005000 ,45779000 ,45616000 ,43302000 ,48708000 ,55149000 ,65435000 ,58133000 ,46825000 ,46621000 ,48812000 
2004,서울특별시,관악구,총계,118259000 ,120034000 ,109686000 ,110136000 ,102261000 ,108646000 ,116926000 ,137476000 ,123699000 ,105676000 ,109515000 ,114775000 
2004,서울특별시,광진구,주택용,37358000 ,38584000 ,34341000 ,34520000 ,32775000 ,33219000 ,34622000 ,41304000 ,35406000 ,32257000 ,34231000 ,35376000 
2004,서울특별시,광진구,일반용,41869000 ,42612000 ,38539000 ,38228000 ,37096000 ,42425000 ,47635000 ,55824000 ,48093000 ,38786000 ,39370000 ,42363000 
2004,서울특별시,광진구,총계,135219000 ,137348000 ,124433000 ,121140000 ,116560000 ,128758000 ,139350000 ,159228000 ,138212000 ,120418000 ,122372000 ,128156000 
2004,서울특별시,구로구,주택용,39870000 ,40747000 ,36986000 ,37225000 ,35396000 ,35866000 ,37063000 ,44079000 ,38720000 ,35527000 ,37661000 ,38472000 
2004,서울특별시,구로구,일반용,41553000 ,41579000 ,39228000 ,37255000 ,35652000 ,41442000 ,46881000 ,53702000 ,46223000 ,38135000 ,38074000 ,44893000 
2004,서울특별시,구로구,총계,142915000 ,142654000 ,132587000 ,138973000 ,115670000 ,126045000 ,136886000 ,151580000 ,139170000 ,123592000 ,128452000 ,139591000 
2004,서울특별시,금천구,주택용,23785000 ,24519000 ,22071000 ,21992000 ,20925000 ,21032000 ,21535000 ,25502000 ,22616000 ,20727000 ,22058000 ,22683000 
2004,서울특별시,금천구,일반용,31686000 ,31644000 ,29466000 ,27730000 ,26918000 ,30424000 ,34276000 ,39171000 ,34098000 ,29179000 ,30594000 ,34965000 
2004,서울특별시,금천구,총계,98374000 ,99113000 ,94699000 ,90833000 ,86484000 ,92168000 ,98512000 ,107506000 ,98407000 ,86739000 ,92371000 ,98274000 
2004,서울특별시,노원구,주택용,57832000 ,58144000 ,54154000 ,54140000 ,52365000 ,52936000 ,54841000 ,62601000 ,55969000 ,52921000 ,54335000 ,56468000 
2004,서울특별시,노원구,일반용,44318000 ,44490000 ,40968000 ,40044000 ,38620000 ,43747000 ,48788000 ,56143000 ,50944000 ,41741000 ,40991000 ,44078000 
2004,서울특별시,노원구,총계,116161000 ,115898000 ,108193000 ,106928000 ,101796000 ,109332000 ,117269000 ,131595000 ,120041000 ,105646000 ,107712000 ,114786000 
2004,서울특별시,도봉구,주택용,35560000 ,36440000 ,33005000 ,32972000 ,31681000 ,32154000 ,32881000 ,38659000 ,34354000 ,32207000 ,33281000 ,34837000 
2004,서울특별시,도봉구,일반용,26188000 ,26505000 ,23654000 ,22883000 ,22233000 ,24497000 ,27267000 ,31427000 ,28305000 ,22965000 ,22568000 ,24881000 
2004,서울특별시,도봉구,총계,89511000 ,91102000 ,82656000 ,82163000 ,78968000 ,82740000 ,86652000 ,100158000 ,90478000 ,79418000 ,80851000 ,85448000 
2004,서울특별시,동대문구,주택용,37333000 ,38973000 ,35087000 ,34532000 ,32966000 ,33854000 ,33889000 ,41761000 ,35948000 ,32958000 ,34618000 ,35731000 
2004,서울특별시,동대문구,일반용,48324000 ,48817000 ,45241000 ,43650000 ,41458000 ,47431000 ,53286000 ,62587000 ,54977000 ,43611000 ,43622000 ,46774000 
2004,서울특별시,동대문구,총계,107474000 ,109700000 ,101082000 ,98037000 ,92021000 ,100439000 ,107107000 ,126053000 ,111794000 ,94116000 ,97124000 ,102785000 
2004,서울특별시,동작구,주택용,38961000 ,39944000 ,36390000 ,36524000 ,34824000 ,35368000 ,36558000 ,43671000 ,38698000 ,35047000 ,36215000 ,37149000 
2004,서울특별시,동작구,일반용,36242000 ,36476000 ,34222000 ,33536000 ,32665000 ,37537000 ,42166000 ,49186000 ,42544000 ,34296000 ,34021000 ,36365000 
2004,서울특별시,동작구,총계,85914000 ,86829000 ,81001000 ,79996000 ,76854000 ,82872000 ,88766000 ,102795000 ,90955000 ,78422000 ,79845000 ,83988000 
2004,서울특별시,마포구,주택용,38677000 ,40135000 ,36602000 ,35961000 ,34391000 ,35264000 ,36315000 ,44409000 ,37953000 ,34637000 ,36481000 ,37741000 
2004,서울특별시,마포구,일반용,51131000 ,51288000 ,48043000 ,45040000 ,43600000 ,50753000 ,57101000 ,66656000 ,57803000 ,46184000 ,46460000 ,51293000 
2004,서울특별시,마포구,총계,104669000 ,105890000 ,99245000 ,94216000 ,89914000 ,98510000 ,105957000 ,124009000 ,108067000 ,93241000 ,96180000 ,104133000 
2004,서울특별시,서대문구,주택용,34775000 ,35691000 ,32384000 ,32324000 ,30593000 ,30933000 ,31670000 ,38333000 ,32465000 ,30298000 ,31965000 ,32974000 
2004,서울특별시,서대문구,일반용,39803000 ,40068000 ,36994000 ,35712000 ,35004000 ,40758000 ,45700000 ,54096000 ,45523000 ,36605000 ,36433000 ,38894000 
2004,서울특별시,서대문구,총계,89294000 ,90249000 ,84016000 ,81523000 ,78288000 ,85775000 ,91957000 ,107253000 ,91488000 ,79647000 ,82321000 ,86884000 
2004,서울특별시,서초구,주택용,48567000 ,48595000 ,45385000 ,43746000 ,42595000 ,43960000 ,47801000 ,58124000 ,46875000 ,43695000 ,45715000 ,47772000 
