ym,average,low,high,temp_range,high_deviation,low_deviation,climate_summary,percipitation,energy,pop,urban_bcr,urban_far
"			2004-01",-1.5,-4.9,2.1,7,3.6,3.4,-27.21952184,19.8,997773000,10201656,54.23,163.31
"			2004-02",2.3,-1.6,6.9,8.5,4.6,3.9,-20.46846669,54.6,1022829000,10201656,54.23,163.31
"			2004-03",6.3,2.1,11.1,9,4.8,4.2,-13.64492238,27.6,929970000,10201656,54.23,163.31
"			2004-04",13.1,8.5,18.3,9.8,5.2,4.6,-1.942677142,74.1,926836000,10201656,54.23,163.31
"			2004-05",17.6,13.7,22.2,8.5,4.6,3.9,5.995207534,168.5,887453000,10201656,54.23,163.31
"			2004-06",23.2,19.3,27.7,8.4,4.5,3.9,15.63073572,138.1,903489000,10201656,54.23,163.31
"			2004-07",24.8,22.3,27.7,5.4,2.9,2.5,18.50499087,510.7,935120000,10201656,54.23,163.31
"			2004-08",26.1,22.8,30.2,7.4,4.1,3.3,20.83685291,193.3,1122096000,10201656,54.23,163.31
"			2004-09",21.7,17.8,26.3,8.5,4.6,3.9,13.08678037,198.7,970072000,10201656,54.23,163.31
"			2004-10",15.2,10.3,20.8,10.5,5.6,4.9,1.695573571,6.5,890996000,10201656,54.23,163.31
"			2004-11",9.1,5.3,13.4,8.1,4.3,3.8,-8.793031796,80,933732000,10201656,54.23,163.31
"			2004-12",1.9,-1.4,5.8,7.2,3.9,3.3,-21.12176835,27.2,961073000,10201656,54.23,163.31
"			2005-01",-2.5,-6.2,1.5,7.7,4,3.7,-28.94319205,4.5,1050920000,10201656,54.23,163.31
"			2005-02",-1.9,-5.5,2.2,7.7,4.1,3.6,-27.78950893,17.2,1034572000,10201656,54.23,163.31
"			2005-03",4.1,0.2,8.8,8.6,4.7,3.9,-17.30457074,12.5,948015000,10201656,54.23,163.31
"			2005-04",13.2,8.9,18.1,9.2,4.9,4.3,-1.725171138,94.7,968532000,10201656,54.23,163.31
"			2005-05",17.7,13,22.9,9.9,5.2,4.7,5.948352193,85.8,908561000,10201656,54.23,163.31
"			2005-06",22.7,19.1,27.3,8.2,4.6,3.6,15.01254063,168.5,958408000,10201656,54.23,163.31
"			2005-07",25.3,22.7,28.8,6.1,3.5,2.6,19.60758246,269.4,994931000,10201656,54.23,163.31
"			2005-08",25.1,22.4,28.7,6.3,3.6,2.7,19.24680514,285,1131221000,10201656,54.23,163.31
"			2005-09",21.8,18.6,25.7,7.1,3.9,3.2,13.36367412,313.3,998855000,10201656,54.23,163.31
"			2005-10",14.7,10.7,19.4,8.7,4.7,4,0.964370056,52.6,933188000,10201656,54.23,163.31
"			2005-11",8.6,4.6,12.9,8.3,4.3,4,-9.788596657,44.6,954642000,10201656,54.23,163.31
"			2005-12",-3.9,-7.4,-0.1,7.3,3.8,3.5,-31.33501085,10.3,1026298000,10201656,54.23,163.31
"			2006-01",-0.2,-3.3,3.4,6.7,3.6,3.1,-24.774866,34.3,1107776000,10201656,54.23,163.31
"			2006-02",0.1,-4,4.2,8.2,4.1,4.1,-24.65705238,15.7,1043070000,10201656,54.23,163.31
"			2006-03",5.2,0.9,9.9,9,4.7,4.3,-15.66343145,14,960352000,10201656,54.23,163.31
"			2006-04",11.6,7.7,16.2,8.5,4.6,3.9,-4.382703928,51.8,997712000,10201656,54.23,163.31
"			2006-05",18.4,14,23.4,9.4,5,4.4,7.254171858,156.2,927631000,10201656,54.23,163.31
"			2006-06",21.8,18.1,26.3,8.2,4.5,3.7,13.33996195,168.5,963298000,10201656,54.23,163.31
"			2006-07",23.1,20.9,26,5.1,2.9,2.2,15.76069098,1014,993475000,10201656,54.23,163.31
"			2006-08",27,23.9,31.1,7.2,4.1,3.1,22.52427854,121.2,1158685000,10201656,54.23,163.31
"			2006-09",21.1,16.9,25.7,8.8,4.6,4.2,11.85288086,11.1,1066869000,10201656,54.23,163.31
"			2006-10",17.9,13.9,22.6,8.7,4.7,4,6.499256169,30.2,917460000,10201656,54.23,163.31
"			2006-11",8.4,4.5,12.4,7.9,4,3.9,-10.22072513,47.6,991926000,10201656,54.23,163.31
"			2006-12",1.4,-2,5.4,7.4,4,3.4,-22.00144124,17.3,1037155000,10201656,54.23,163.31
"			2007-01",0.4,-2.8,4.1,6.9,3.7,3.2,-23.75192179,10.8,1075305000,10201656,54.23,163.31
"			2007-02",4,0.1,8.7,8.6,4.7,3.9,-17.47753593,12.6,1073293000,10201656,54.23,163.31
"			2007-03",6.1,2.3,10.3,8,4.2,3.8,-14.03251004,123.5,960533000,10201656,54.23,163.31
"			2007-04",11.4,7.5,16.1,8.6,4.7,3.9,-4.678111795,41.1,1016992000,10201656,54.23,163.31
"			2007-05",18.1,13.6,23.4,9.8,5.3,4.5,6.821474377,137.6,954144000,10201656,54.23,163.31
"			2007-06",23.2,19.2,27.7,8.5,4.5,4,15.56536626,54.5,982471000,10201656,54.23,163.31
"			2007-07",24.2,21.3,27.8,6.5,3.6,2.9,17.55937952,274.1,1014115000,10201656,54.23,163.31
"			2007-08",26.5,23.8,29.9,6.1,3.4,2.7,21.56727279,237.6,1157601000,10201656,54.23,163.31
"			2007-09",21.5,18.6,25.1,6.5,3.6,2.9,12.88931936,241.9,1107260000,10201656,54.23,163.31
"			2007-10",15.1,11.3,19.6,8.3,4.5,3.8,1.685924696,39.5,978022000,10201656,54.23,163.31
"			2007-11",6.7,2.8,11.4,8.6,4.7,3.9,-12.80747577,26.4,1017438000,10201656,54.23,163.31
"			2007-12",1.8,-1.4,5.4,6.8,3.6,3.2,-21.38093163,12.7,1054305000,10201656,54.23,163.31
"			2008-01",-1.7,-5,1.9,6.9,3.6,3.3,-27.50008277,17.7,1124889000,10201656,54.23,163.31
"			2008-02",-1.2,-4.9,3.2,8.1,4.4,3.7,-26.4925545,15,1124234000,10212056,54.23,163.31
"			2008-03",7.3,3.7,11.9,8.2,4.6,3.6,-11.62409878,53.9,1021684000,10206136,54.23,163.31
"			2008-04",14.1,9.3,19.5,10.2,5.4,4.8,-0.242719107,38.5,1033054000,10206862,54.23,163.31
"			2008-05",17.7,13.1,22.7,9.6,5,4.6,5.912676616,97.7,971074000,10204867,54.23,163.31
"			2008-06",21.5,17.6,26.1,8.5,4.6,3.9,12.74084998,165,998593000,10196863,54.23,163.31
"			2008-07",25.1,22.6,28.4,5.8,3.3,2.5,19.22597651,530.8,1050141000,10196644,54.23,163.31
"			2008-08",25.3,21.8,29.5,7.7,4.2,3.5,19.37291499,251.2,1188891000,10197320,54.23,163.31
"			2008-09",22,18,26.9,8.9,4.9,4,13.69187403,99.2,1083408000,10198705,54.23,163.31
"			2008-10",16.1,12.1,21,8.9,4.9,4,3.486927761,41.8,987595000,10200440,54.23,163.31
"			2008-11",7.6,3.8,11.7,7.9,4.1,3.8,-11.48855469,19.6,1033462000,10199174,54.23,163.31
"			2008-12",1.1,-2.7,5,7.7,3.9,3.8,-22.83233714,25.9,1070485000,10200827,54.23,163.31
"			2009-01",-2,-5.5,2.3,7.8,4.3,3.5,-27.79605964,5.7,1153275000,10207304,54.23,163.31
"			2009-02",2.9,-0.6,6.8,7.4,3.9,3.5,-19.52285534,36.9,1136368000,10221170,54.23,163.31
"			2009-03",6,1.8,10.6,8.8,4.6,4.2,-14.26486298,63.9,1004472000,10225908,54.23,163.31
"			2009-04",12.7,8.1,18,9.9,5.3,4.6,-2.584015391,66.5,1054514000,10218707,54.23,163.31
"			2009-05",19.1,14.6,24.3,9.7,5.2,4.5,8.500603773,109,999567000,10222778,54.23,163.31
"			2009-06",22.4,18.8,26.7,7.9,4.3,3.6,14.34207752,132,1036914000,10226685,54.23,163.31
"			2009-07",24.3,21,28.2,7.2,3.9,3.3,17.62243444,659.4,1046460000,10229471,54.23,163.31
"			2009-08",25.7,22.4,29.5,7.1,3.8,3.3,19.9934246,285.3,1176870000,10230476,54.23,163.31
"			2009-09",21.8,17.7,26.3,8.6,4.5,4.1,13.07848414,64.5,1107488000,10228160,54.23,163.31
"			2009-10",16,11.7,20.9,9.2,4.9,4.3,3.117854211,66.9,1007942000,10224788,54.23,163.31
"			2009-11",6.9,3.7,10.4,6.7,3.5,3.2,-12.6102294,52.4,1076722000,10217035,54.23,163.31
"			2009-12",-1,-4.2,2.5,6.7,3.5,3.2,-26.27447949,21.5,1107187000,10208302,54.23,163.31
"			2010-01",-4.5,-8.1,-0.7,7.4,3.8,3.6,-32.43817145,29.3,1214068000,10213153,54.23,163.31
"			2010-02",1.4,-1.7,4.9,6.6,3.5,3.1,-22.05794546,55.3,1181409000,10214085,54.23,163.31
"			2010-03",4.3,0.5,8.1,7.6,3.8,3.8,-17.34797354,82.5,1032892000,10208670,54.23,163.31
"			2010-04",9.5,5.6,14,8.4,4.5,3.9,-8.065495455,62.8,1089846000,10203549,54.23,163.31
"			2010-05",17.2,13,22,9,4.8,4.2,5.208283442,124,1022332000,10197997,54.23,163.31
"			2010-06",23.4,19.3,28.2,8.9,4.8,4.1,15.99749474,127.6,1055101000,10194327,54.23,163.31
"			2010-07",25.8,23.1,29.3,6.2,3.5,2.7,20.40703897,239.2,1125863000,10191949,54.23,163.31
"			2010-08",26.5,23.8,30,6.2,3.5,2.7,21.6177953,598.7,1300710000,10189598,54.23,163.31
"			2010-09",21.8,18.5,26,7.5,4.2,3.3,13.44987221,671.5,1209523000,10186556,54.23,163.31
"			2010-10",14.5,10.4,19.3,8.9,4.8,4.1,0.603592736,25.6,1030153000,10328915,54.23,163.31
"			2010-11",6.5,2.5,11.3,8.8,4.8,4,-13.16825309,10.9,1074270000,10319500,54.23,163.31
"			2010-12",-1.3,-5.1,3.1,8.2,4.4,3.8,-26.73088915,16.1,1120563000,10312545,54.23,163.31
"			2011-01",-7.2,-10.5,-3.4,7.1,3.8,3.3,-36.91212325,8.9,1231391000,10312835,54.23,163.31
"			2011-02",1.2,-2.5,5.9,8.4,4.7,3.7,-22.18982237,29.1,1202149000,10314245,54.23,163.31
"			2011-03",3.6,-0.1,8.3,8.4,4.7,3.7,-18.03865779,14.6,1037949000,10307783,54.23,163.31
"			2011-04",10.7,6.8,15.6,8.8,4.9,3.9,-5.787823102,110.1,1083898000,10301829,54.23,163.31
"			2011-05",17.9,13.6,23,9.4,5.1,4.3,6.505237871,53.4,1027707000,10295643,54.23,163.31
"			2011-06",22,18.4,26.6,8.2,4.6,3.6,13.8017843,404.5,1042577000,10288284,54.23,163.31
"			2011-07",24.6,22,28,6,3.4,2.6,18.34630361,1131,1088431000,10282472,54.23,163.31
"			2011-08",25.8,23,29.5,6.5,3.7,2.8,20.44271454,166.8,1222761000,10277507,54.23,163.31
"			2011-09",21.8,17.7,26.6,8.9,4.8,4.1,13.23005168,25.6,1155030000,10271880,54.23,163.31
"			2011-10",14.2,9.7,19.3,9.6,5.1,4.5,-0.025213103,32,1021590000,10266174,54.23,163.31
"			2011-11",10.7,7.2,14.7,7.5,4,3.5,-5.981047926,56.2,1074035000,10257741,54.23,163.31
"			2011-12",-0.9,-4.1,2.9,7,3.8,3.2,-25.94994676,7.1,1111070000,10249679,54.23,163.31
"			2012-01",-2.8,-6.3,1.3,7.6,4.1,3.5,-29.2808262,6.7,1204664000,10250134,54.23,163.31
"			2012-02",-2,-6,3,9,5,4,-27.7692493,0.8,1209163000,10251297,54.23,163.31
"			2012-03",5.1,1.5,9.5,8,4.4,3.6,-15.53037802,47.4,1095406000,10245782,54.23,163.31
