ym,average,low,high,temp_range,high_deviation,low_deviation,climate_summary,energy,pop,month
2008-01-01,-1.7,-5.0,1.9,6.9,3.5999999999999996,3.3,-27.500082768705262,1124889000,10201656.0,1
2008-02-01,-1.2,-4.9,3.2,8.100000000000001,4.4,3.7,-26.49255450469039,1124234000,10212056.0,2
2008-03-01,7.3,3.7,11.9,8.2,4.6000000000000005,3.5999999999999996,-11.624098784171483,1021684000,10206136.0,3
2008-04-01,14.1,9.3,19.5,10.2,5.4,4.799999999999999,-0.24271910713424205,1033054000,10206862.0,4
2008-05-01,17.7,13.1,22.7,9.6,5.0,4.6,5.912676615623894,971074000,10204867.0,5
2008-06-01,21.5,17.6,26.1,8.5,4.600000000000001,3.8999999999999986,12.740849984228145,998593000,10196863.0,6
2008-07-01,25.1,22.6,28.4,5.799999999999997,3.299999999999997,2.5,19.2259765052,1050141000,10196644.0,7
2008-08-01,25.3,21.8,29.5,7.699999999999999,4.199999999999999,3.5,19.372914994564166,1188891000,10197320.0,8
2008-09-01,22.0,18.0,26.9,8.899999999999999,4.899999999999999,4.0,13.691874031589482,1083408000,10198705.0,9
2008-10-01,16.1,12.1,21.0,8.9,4.899999999999999,4.000000000000002,3.4869277606500226,987595000,10200440.0,10
2008-11-01,7.6,3.8,11.7,7.8999999999999995,4.1,3.8,-11.488554691506765,1033462000,10199174.0,11
2008-12-01,1.1,-2.7,5.0,7.7,3.9,3.8000000000000003,-22.832337138612154,1070485000,10200827.0,12
2009-01-01,-2.0,-5.5,2.3,7.8,4.3,3.5,-27.79605964242557,1153275000,10207304.0,1
2009-02-01,2.9,-0.6,6.8,7.3999999999999995,3.9,3.5,-19.522855341752237,1136368000,10221170.0,2
2009-03-01,6.0,1.8,10.6,8.799999999999999,4.6,4.2,-14.264862984135256,1004472000,10225908.0,3
2009-04-01,12.7,8.1,18.0,9.9,5.300000000000001,4.6,-2.5840153910666572,1054514000,10218707.0,4
2009-05-01,19.1,14.6,24.3,9.700000000000001,5.199999999999999,4.500000000000002,8.500603772808876,999567000,10222778.0,5
2009-06-01,22.4,18.8,26.7,7.899999999999999,4.300000000000001,3.599999999999998,14.342077516839158,1036914000,10226685.0,6
2009-07-01,24.3,21.0,28.2,7.199999999999999,3.8999999999999986,3.3000000000000007,17.62243444479454,1046460000,10229471.0,7
2009-08-01,25.7,22.4,29.5,7.100000000000001,3.8000000000000007,3.3000000000000007,19.9934246042704,1176870000,10230476.0,8
2009-09-01,21.8,17.7,26.3,8.600000000000001,4.5,4.100000000000001,13.078484136830266,1107488000,10228160.0,9
2009-10-01,16.0,11.7,20.9,9.2,4.899999999999999,4.300000000000001,3.1178542113489343,1007942000,10224788.0,10
2009-11-01,6.9,3.7,10.4,6.7,3.5,3.2,-12.610229402106535,1076722000,10217035.0,11
