,city,bcr,far
2014/07,seoul,54.23,163.31
2014/08,seoul,54.2376,163.4128
2014/09,seoul,54.2452,163.5156
2014/10,seoul,54.2528,163.6184
2014/11,seoul,54.2604,163.7212
2014/12,seoul,54.268,163.824
2015/01,seoul,54.2756,163.9268
2015/02,seoul,54.2832,164.0296
2015/03,seoul,54.2908,164.1324
2015/04,seoul,54.2984,164.2352
2015/05,seoul,54.306,164.338
2015/06,seoul,54.3136,164.4408
2015/07,seoul,54.3212,164.5436
2015/08,seoul,54.3288,164.6464
2015/09,seoul,54.3364,164.7492
2015/10,seoul,54.344,164.852
2015/11,seoul,54.3516,164.9548
2015/12,seoul,54.3592,165.0576
2016/01,seoul,54.3668,165.1604
2016/02,seoul,54.3744,165.2632
2016/03,seoul,54.382,165.366
2016/04,seoul,54.3896,165.4688
2016/05,seoul,54.3972,165.5716
2016/06,seoul,54.4048,165.6744
2016/07,seoul,54.4124,165.7772
2016/08,seoul,54.42,165.88
2016/09,seoul,54.41933333,165.976
2016/10,seoul,54.41866667,166.072
2016/11,seoul,54.418,166.168
2016/12,seoul,54.41733333,166.264
2017/01,seoul,54.41666667,166.36
2017/02,seoul,54.416,166.456
2017/03,seoul,54.41533333,166.552
2017/04,seoul,54.41466667,166.648
2017/05,seoul,54.414,166.744
2017/06,seoul,54.41333333,166.84
2017/07,seoul,54.41266667,166.936
2017/08,seoul,54.412,167.032
2017/09,seoul,54.41133333,167.128
2017/10,seoul,54.41066667,167.224
2017/11,seoul,54.41,167.32
2017/12,seoul,54.4075,167.8875
2018/01,seoul,54.405,168.455
2018/02,seoul,54.4025,169.0225
2018/03,seoul,54.4,169.59
2018/04,seoul,54.4,167.72
2018/05,seoul,54.4,167.83
2018/06,seoul,54.4,167.95
2018/07,seoul,54.39,168.24
2018/08,seoul,54.39,168.28
2018/09,seoul,54.39,168.34
2018/10,seoul,54.38,168.45
2018/11,seoul,54.38,168.5
2018/12,seoul,54.38,168.58
2019/01,seoul,54.38,168.68
2019/02,seoul,54.38,168.74
2019/03,seoul,54.38,168.78
2019/04,seoul,54.37,168.85
2019/05,seoul,54.38,168.9
2019/06,seoul,54.38,169
2019/07,seoul,54.38,169.14
2019/08,seoul,54.38,169.19
2019/09,seoul,54.38,169.24
2019/10,seoul,54.36,169.46
2019/11,seoul,54.36,169.51
2019/12,seoul,54.36,169.57
2020/01,seoul,54.36,169.65
2020/02,seoul,54.36,169.67
2020/03,seoul,54.36,169.7
2020/04,seoul,54.36,169.73
2020/05,seoul,54.36,169.78
2020/06,seoul,54.36,169.87
2020/07,seoul,54.35,169.91
2020/08,seoul,54.35,169.97
2020/09,seoul,54.35,170.02
2020/10,seoul,54.33,170.23
2020/11,seoul,54.33,170.31
2020/12,seoul,54.33,170.36
2021/01,seoul,54.33,170.41
2021/02,seoul,54.33,170.46
2021/03,seoul,54.34,170.5
2021/04,seoul,54.34,170.53
2021/05,seoul,54.33,170.73
2021/06,seoul,54.33,170.78
2021/07,seoul,54.33,170.83
2021/08,seoul,54.34,170.89
2021/09,seoul,54.33,170.95
2021/10,seoul,54.33,171
2021/11,seoul,54.33,171.04
2021/12,seoul,54.33,171.08
2022/01,seoul,54.33,171.11
2022/02,seoul,54.33,171.17
2022/03,seoul,54.33,171.31
2022/04,seoul,54.33,171.33
2022/05,seoul,54.33,171.41
2022/06,seoul,54.33,171.46
2022/07,seoul,54.33,171.48
2022/08,seoul,54.33,171.54
2022/09,seoul,54.33,171.54
2022/10,seoul,54.33,171.53
2022/11,seoul,54.33,171.53
2022/12,seoul,54.33,171.52
2023/01,seoul,54.32,171.51
2023/02,seoul,54.32,171.51
2023/03,seoul,54.32,171.51
2023/04,seoul,54.32,171.5
2023/05,seoul,54.32,171.5
2023/06,seoul,54.32,171.49
2023/07,seoul,54.32,171.49
2023/08,seoul,54.32,171.49
2023/09,seoul,54.32,171.48
2023/10,seoul,54.3,171.77
2023/11,seoul,54.29,171.84
2023/12,seoul,54.29,171.85
2014/07,busan,56.11,154.17
2014/08,busan,56.1096,154.1944
2014/09,busan,56.1092,154.2188
2014/10,busan,56.1088,154.2432
2014/11,busan,56.1084,154.2676
2014/12,busan,56.108,154.292
2015/01,busan,56.1076,154.3164
2015/02,busan,56.1072,154.3408
2015/03,busan,56.1068,154.3652
2015/04,busan,56.1064,154.3896
2015/05,busan,56.106,154.414
2015/06,busan,56.1056,154.4384
2015/07,busan,56.1052,154.4628
2015/08,busan,56.1048,154.4872
2015/09,busan,56.1044,154.5116
2015/10,busan,56.104,154.536
2015/11,busan,56.1036,154.5604
2015/12,busan,56.1032,154.5848
2016/01,busan,56.1028,154.6092
2016/02,busan,56.1024,154.6336
2016/03,busan,56.102,154.658
2016/04,busan,56.1016,154.6824
2016/05,busan,56.1012,154.7068
2016/06,busan,56.1008,154.7312
2016/07,busan,56.1004,154.7556
2016/08,busan,56.1,154.78
2016/09,busan,56.084,154.812
2016/10,busan,56.068,154.844
2016/11,busan,56.052,154.876
2016/12,busan,56.036,154.908
2017/01,busan,56.02,154.94
2017/02,busan,56.004,154.972
2017/03,busan,55.988,155.004
2017/04,busan,55.972,155.036
2017/05,busan,55.956,155.068
2017/06,busan,55.94,155.1
2017/07,busan,55.924,155.132
2017/08,busan,55.908,155.164
2017/09,busan,55.892,155.196
2017/10,busan,55.876,155.228
2017/11,busan,55.86,155.26
2017/12,busan,55.84,155.255
2018/01,busan,55.82,155.25
2018/02,busan,55.8,155.245
2018/03,busan,55.78,155.24
2018/04,busan,55.78,155.27
2018/05,busan,55.77,155.28
2018/06,busan,55.77,155.29
2018/07,busan,55.73,155.66
2018/08,busan,55.72,155.65
2018/09,busan,55.7,155.63
2018/10,busan,55.68,155.64
2018/11,busan,55.67,155.64
2018/12,busan,55.65,155.64
2019/01,busan,55.64,155.67
2019/02,busan,55.63,155.68
2019/03,busan,55.62,155.69
2019/04,busan,55.62,155.74
2019/05,busan,55.6,155.78
2019/06,busan,55.6,155.81
2019/07,busan,55.59,155.83
2019/08,busan,55.59,155.88
2019/09,busan,55.58,155.89
2019/10,busan,55.52,156.11
2019/11,busan,55.5,156.18
2019/12,busan,55.49,156.26
2020/01,busan,55.49,156.3
2020/02,busan,55.48,156.32
2020/03,busan,55.48,156.35
2020/04,busan,55.47,156.4
2020/05,busan,55.47,156.4
2020/06,busan,55.46,156.5
2020/07,busan,55.46,156.53
2020/08,busan,55.46,156.61
2020/09,busan,55.45,156.62
2020/10,busan,55.39,156.72
2020/11,busan,55.39,156.74
2020/12,busan,55.38,156.78
2021/01,busan,55.38,156.81
2021/02,busan,55.37,156.8
2021/03,busan,55.37,156.8
2021/04,busan,55.36,156.85
2021/05,busan,55.37,156.92
2021/06,busan,55.37,156.94
2021/07,busan,55.36,156.99
2021/08,busan,55.36,157.01
2021/09,busan,55.35,157.01
2021/10,busan,55.35,157.03
2021/11,busan,55.35,157.1
2021/12,busan,55.34,157.07
2022/01,busan,55.33,157.08
2022/02,busan,55.33,157.11
2022/03,busan,55.33,157.13
2022/04,busan,55.32,157.16
2022/05,busan,55.33,157.26
2022/06,busan,55.33,157.29
2022/07,busan,55.33,157.31
2022/08,busan,55.33,157.31
2022/09,busan,55.32,157.35
2022/10,busan,55.33,157.39
2022/11,busan,55.33,157.38
2022/12,busan,55.33,157.37
2023/01,busan,55.33,157.37
2023/02,busan,55.33,157.37
2023/03,busan,55.33,157.36
2023/04,busan,55.32,157.32
2023/05,busan,55.32,157.31
2023/06,busan,55.32,157.28
2023/07,busan,55.31,157.26
2023/08,busan,55.31,157.25
2023/09,busan,55.31,157.26
2023/10,busan,55.22,157.23
2023/11,busan,55.21,157.22
2023/12,busan,55.2,157.22
